,0,1,2,3,4,5,6,7,8,9
62,['Montalbera'],['Red still'],['2018'],"[""\nDOCG Ruche' di Castagnole Monferrato\n""]",['Piedmont'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 12.11'],['€ 9.89']
63,['Alois Lageder'],['Red biodynamic still'],['2017'],['\nDOC Alto Adige Lagrein\n'],['Trentino Alto Adige'],['100% '],['12.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 14.58'],['€ 13.51']
64,['Antinori'],['Red still'],['2016'],['\nDOCG Chianti Classico Riserva\n'],['Tuscany'],"['10% ', ', 90% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 32.92'],['€ 29.00']
65,['La Vis'],['Red still'],['2018'],['\nDOC Trentino Pinot Nero\n'],['Trentino Alto Adige'],['100% '],['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 9.35'],['€ 8.10']
66,['Zaccagnini Ciccio'],['Red still'],['2018'],"[""\nDOC Montepulciano d'Abruzzo Rosso\n""]",['Abruzzo'],['100% '],['12.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.04'],['€ 7.50']
67,['Feudi San Gregorio'],['Red still'],['2018'],['\nDOC Primitivo di Manduria\n'],['Apulia'],['100% '],['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.53'],['€ 8.20']
68,['Orestiadi'],['Red still'],['2018'],"[""\nDOC Sicilia Nero d'Avola\n""]",['Sicily'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 6.22'],['€ 4.92']
69,['Campo alle Comete'],['Red still'],['2016'],['\nIGT Toscano o Toscana\n'],['Tuscany'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 11.83'],['€ 9.89']
70,['Cantine Leonardo da Vinci'],['Red still'],['2018'],['\nIGT Toscano o Toscana\n'],['Tuscany'],"['30% ', ', 70% ']",['12.50% by volume'],"['0,75 l Standard']",,['€ 9.89']
71,['Cantine Leonardo da Vinci'],['Red still'],['2016'],['\nDOCG Chianti Riserva\n'],['Tuscany'],"['10% ', ', 85% ']",['13.50% by volume'],"['0,75 l Standard']",,['€ 13.90']
72,['Fattoria dei Barbi'],['Red still'],['2015'],"['\n', '\n']",['Tuscany'],['100% '],['14.50% by volume'],"['0,75 l Standard']",,['€ 29.50']
73,['Rocche Malatestiane'],['Red still'],['2015'],['\nDOC Sangiovese di Romagna Superiore Riserva\n'],['Emilia-Romagna'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 12.63'],['€ 11.59']
74,['Di Majo Norante'],['Red still'],['2017'],['\nDOC Tintilia del Molise Rosso\n'],['Molise'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 14.08'],['€ 10.89']
75,['Fattoria Ambra'],['Red still'],['2016'],['\nDOCG Carmignano\n'],['Tuscany'],"['10% ', ', 10% ', ', 75% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 14.24'],['€ 13.51']
76,['Feudo Principi di Butera'],['Red still'],['2017'],['\nDOC Sicilia Syrah\n'],['Sicily'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 11.98'],['€ 9.00']
77,['Fattoria dei Barbi'],['Red still'],['2015'],"['\n', '\n']",['Tuscany'],['100% '],['14.50% by volume'],"['0,75 l Standard']",,['€ 29.50']
78,['Lungarotti'],['Red still'],['2017'],['\nDOC Torgiano - Rosso di torgiano\n'],['Umbria'],"['10% ', ', 90% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.16'],['€ 8.30']
79,['Zaccagnini Ciccio'],['Red still'],['2018'],"[""\nDOC Montepulciano d'Abruzzo Rosso\n""]",['Abruzzo'],['100% '],['12.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.04'],['€ 7.50']
80,['La Braccesca (Antinori)'],['Red still'],['2018'],['\nDOC Rosso di Montepulciano\n'],['Tuscany'],"['15% ', ', 85% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.86'],['€ 8.00']
81,['Negrar - Domini Veneti'],['Red still'],['2019'],['\nDOC Valpolicella Classico\n'],['Veneto'],"['60% ', ', 15% ', ', 15% ']",['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 9.15'],['€ 7.47']
82,['Vinosia'],['Red still'],['2018'],['\nIGT Beneventano/Beneventano\n'],['Campania'],"['90% ', ', 10% ']",['12.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 7.43'],['€ 6.59']
83,['Tenute Silvio Nardi'],['Red still'],['2018'],['\nIGT Toscano o Toscana\n'],['Tuscany'],"['40% ', ', 40% ', ', 20% ']",['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 9.47'],['€ 6.92']
84,['Maso Cantanghel'],['Red organic still'],['2016'],['\nDOC Trentino Pinot Nero\n'],['Trentino Alto Adige'],['100% '],['13.50% by volume'],"['0,75 l Standard']",,['€ 24.50']
85,['Nittardi'],['Red still'],['2015'],['\nDOCG Chianti Classico Riserva\n'],['Tuscany'],"['5% ', ', 95% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 35.00'],['€ 25.55']
86,['Velenosi'],['Red still'],['2016'],['\nDOC Rosso Piceno Superiore\n'],['Marche'],"[', ']",['14.00% by volume'],"['0,75 l Standard']",,['€ 26.00']
87,['Riondo'],['Red still'],['2017'],['\nIGT Veronese\n'],['Veneto'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 5.84'],['€ 4.34']
88,['Montalbera'],['Red still'],['2016'],"[""\nDOCG Barbera d'Asti Superiore\n""]",['Piedmont'],['100% '],['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 12.75'],['€ 11.30']
89,['Haras De Pirque (Antinori)'],['Red still'],['2016'],['\nDO Maipo\n'],['Maipo Valley'],"['15% ', ', 85% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 12.57'],['€ 9.28']
90,['La Vis'],['Red still'],['2018'],['\nDOC Trentino Merlot\n'],['Trentino Alto Adige'],['100% '],['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 8.43'],['€ 6.50']
91,['Le Mortelle (Antinori)'],['Red still'],['2017'],['\nDOC Maremma Toscana Cabernet\n'],['Tuscany'],"['40% ', ', 60% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 15.12'],['€ 12.70']
92,['Riondo'],['Red still'],['2018'],['\nIGT Veneto\n'],['Veneto'],[],['13.50% by volume'],"['0,75 l Standard']",,['€ 5.49']
93,['Tormaresca (Antinori)'],['Red still'],['2017'],['\nIGT Salento\n'],['Apulia'],['100% '],['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 15.76'],['€ 12.00']
94,['Cantine Leonardo da Vinci'],['Red still'],['2018'],['\nIGT Toscano o Toscana\n'],['Tuscany'],['85% '],['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 8.49'],['€ 7.49']
95,['Concha y Toro'],['Red still'],['2017'],['\nN/A\n'],['Maipo Valley'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 11.44'],['€ 9.20']
96,['Ka Mancine '],['Red still'],['2018'],['\nDOC Rossese di Dolceacqua\n'],['Liguria'],['100% '],['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 18.47'],['€ 17.57']
97,['Brancaia '],['Red still'],['2015'],['\nDOCG Chianti Classico Riserva\n'],['Tuscany'],"['20% ', ', 80% ']",['14.00% by volume'],"['0,75 l Standard']",,['€ 24.50']
98,['Giacomo Borgogno e Figli'],['Red still'],['2015'],['\nDOC Langhe Nebbiolo\n'],['Piedmont'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 26.43'],['€ 23.00']
99,['Luigi Einaudi'],['Red still'],['2017'],['\nDOCG Dolcetto di Dogliani Superiore\n'],['Piedmont'],['100% '],['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 14.40'],['€ 13.42']
100,['Velenosi'],['Red still'],['2018'],"[""\nDOC Lacrima di Morro d'Alba\n""]",['Marche'],['100% '],['12.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 11.19'],['€ 8.54']
101,['Prunotto (Antinori)'],['Red still'],['2016'],['\nDOC Monferrato Rosso\n'],['Piedmont'],"['50% ', ', 50% ']",['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 12.41'],['€ 10.60']
102,['Villa Papiano'],['Red still'],['2015'],['\nDOC Romagna Sangiovese Modigliana Riserva\n'],['Emilia-Romagna'],"['5% ', ', 95% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 17.67'],['€ 13.18']
103,['Galardi'],['Red still'],['2017'],['\nIGT Campania\n'],['Campania'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 23.18'],['€ 19.24']
104,['Allegrini'],['Red still'],['2016'],['\nIGT Veronese\n'],['Veneto'],"['40% ', ', 25% ', ', 5% ', ', 30% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 17.51'],['€ 15.01']
105,['Masciarelli'],['Red still'],['2016'],"[""\nDOC Montepulciano d'Abruzzo Rosso Riserva\n""]",['Abruzzo'],['100% '],['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 21.73'],['€ 20.56']
106,['Antinori'],['Red still'],['2017'],['\nIGT Toscano o Toscana\n'],['Tuscany'],"[', ', ', ', ', ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 14.73'],['€ 13.01']
107,['Poggio di Sotto'],['Red organic still'],['2016'],['\nDOC Rosso di Montalcino\n'],['Tuscany'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 58.35'],['€ 51.50']
